YEAR,Season,pH,DO,TDS,FCO,TN,
2022,Cool Dry,7.58,7.08,70.84,52,264,
2022,Cool Dry,7.44,6.66,71.54,16,212,
2022,Cool Dry,7.84,7.04,72.45,276,205,
2023,Cool Dry,8.16,7.8,64.39,0,128,
2023,Cool Dry,7.64,6.82,64.5,4,376,
2024,Cool Dry,8.01,8.73,70.43,980,273,
2024,Cool Dry,7.81,7.09,70.04,517,332,
2024,Cool Dry,7.63,7.23,68.37,261,398,
2022,Hot Dry,8.34,8.48,80.53,0,1027,
2022,Hot Dry,8.72,7.98,67.2,88,297,
2022,Hot Dry,8.41,8.28,66.25,93,230,
2023,Hot Dry,8.48,8.07,67.13,5,325,
2023,Hot Dry,8.23,7.46,67.04,84,216,
2024,Hot Dry,8.25,8.63,71.71,46,,
2024,Hot Dry,8.44,8.91,72.03,17,,
2022,Wet Rainy ,8.64,7.9,73.04,34,551,
2022,Wet Rainy ,8.52,7.55,72,365,246,
2022,Wet Rainy ,8.25,7.25,65.73,114,326,
2022,Wet Rainy ,8.55,7.79,71.7,42,298,
2022,Wet Rainy ,8.54,7.71,66.63,488,853,
2023,Wet Rainy ,8.41,7.57,68.6,2419.6,293,
2023,Wet Rainy ,8.24,7.21,69.3,816,250,
2023,Wet Rainy ,8.34,7.42,65.9,411,328,
2023,Wet Rainy ,8.43,7.44,67,387,463,
2023,Wet Rainy ,8.33,7.27,67.61,461,428,
2023,Wet Rainy ,8.87,8.35,64.07,84,240,
2024,Wet Rainy ,8.2,7.69,70,3,406,
2024,Wet Rainy ,8.22,7.51,64.04,411,278,
2024,Wet Rainy ,8.07,7.1,67.7,548,436,
,,8.227241379,7.655862069,68.88862069,311.1241379,358.4814815,
